"","Tool","Cutoff","Rank","Value","OriginalValue","TP","FN","FP","TN","Precision","Recall","F1score","TPR","TNR","FPR"
"492","Tombo_denovo",1741.74253455367,308,0.999999,1,5,3844,1736,2568677,0.00287191269385411,0.00103950103950104,0.00152648450618226,0.0012990387113536,0.999324542266495,0.000675457733504688
"493","Tombo_denovo",1890.59787782419,341,0.999999,1,5,3844,1885,2568676,0.00264550264550265,0.00103950103950104,0.00149253731343284,0.0012990387113536,0.999266601173049,0.000733398826950948
"494","Tombo_denovo",2052.17491375629,373,0.999999,1,5,3844,2047,2568676,0.00243664717348928,0.00103950103950104,0.0014573010784028,0.0012990387113536,0.999203611952435,0.000796388047565414
"495","Tombo_denovo",2227.5608822207,401,0.999999,1,5,3844,2222,2568676,0.00224517287831163,0.00103950103950104,0.00142106011084269,0.0012990387113536,0.999135577408615,0.000864422591384873
"496","Tombo_denovo",2417.93594236926,433,0.999999,1,5,3844,2412,2568676,0.00206868018204386,0.00103950103950104,0.001383700013837,0.0012990387113536,0.999061719558401,0.000938280441598656
"497","Tombo_denovo",2624.58111383815,462,0.999999,1,7,3842,2617,2568675,0.00266768292682927,0.00155925155925156,0.00196813495782568,0.00181865419589504,0.998982043195287,0.00101795680471255
"498","Tombo_denovo",2848.8868966339,498,0.999999,1,10,3841,2838,2568675,0.00351123595505618,0.00181912681912682,0.00239660367022734,0.00259672812256557,0.998896158374436,0.00110384162556432
"499","Tombo_denovo",3092.36262770457,535,0.999999,1,12,3840,3080,2568674,0.00388098318240621,0.00207900207900208,0.00270758122743682,0.00311526479750779,0.998802128322392,0.00119787167760762
"500","Tombo_denovo",3356.64663715598,574,0.999999,1,12,3840,3344,2568674,0.00357568533969011,0.00207900207900208,0.00262927256792287,0.00311526479750779,0.998699567403941,0.00130043259605857
"501","Tombo_denovo",3643.51727245326,618,0.999999,1,13,3839,3630,2568674,0.00356848751029371,0.00233887733887734,0.00282571156005845,0.0033748701973001,0.998588479582532,0.00141152041746786
"502","Tombo_denovo",3954.90486478883,665,0.999999,1,13,3839,3941,2568674,0.00328780981284775,0.00233887733887734,0.00273332554608107,0.0033748701973001,0.998467704967303,0.00153229503269687
"503","Tombo_denovo",4292.90471813757,738,0.999999,1,13,3839,4279,2568674,0.00302889095992544,0.00233887733887734,0.00263953435906691,0.0033748701973001,0.998336459033117,0.00166354096688313
"504","Tombo_denovo",4659.79120840163,804,0.999999,1,18,3836,4641,2568674,0.00386349001931745,0.00311850311850312,0.00345125107851596,0.00467047223663726,0.998195933094424,0.00180406690557628
"505","Tombo_denovo",5058.03308751687,891,0.999999,1,22,3834,5036,2568671,0.00434954527481218,0.00363825363825364,0.00396223016955258,0.00570539419087137,0.998042622326388,0.00195737767361233
"506","Tombo_denovo",5490.31009550125,996,0.999999,1,24,3833,5466,2568671,0.00437158469945355,0.0038981288981289,0.00412130370573891,0.00622245268343272,0.997875759524786,0.00212424047521428
"507","Tombo_denovo",5959.53099222631,1090,0.999999,1,24,3833,5935,2568671,0.00402752139620742,0.0038981288981289,0.00396176892982717,0.00622245268343272,0.997693829098553,0.00230617090144665
"508","Tombo_denovo",6468.85313024627,1194,0.999999,1,24,3833,6444,2568671,0.00371057513914657,0.0038981288981289,0.00380204042836322,0.00622245268343272,0.997496440275298,0.00250355972470167
"509","Tombo_denovo",7021.70370038876,1364,0.999999,1,25,3832,6996,2568669,0.00356074633243128,0.00415800415800416,0.00383626807841332,0.00648172154524242,0.997282385968783,0.00271761403121682
"510","Tombo_denovo",7621.8027930673,1499,0.999999,1,32,3828,7589,2568669,0.00419892402571841,0.0051975051975052,0.00464515379813903,0.00829015544041451,0.997052560279978,0.00294743972002236
"511","Tombo_denovo",8273.18843049333,1642,0.999999,1,37,3824,8236,2568669,0.00447238003142754,0.00623700623700624,0.00520931105688005,0.00958300958300958,0.996801902394341,0.00319809760565934
