,Tool,Cutoff,Rank,Value,OriginalValue,TP,FN,FP,TN,Precision,Recall,F1score,TPR,TNR,FPR
1,Dorado,1,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999611,3.89E-07
2,Dorado,1.076993954,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999611,3.89E-07
3,Dorado,1.159915977,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999611,3.89E-07
4,Dorado,1.249222494,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999611,3.89E-07
5,Dorado,1.345405073,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999611,3.89E-07
6,Dorado,1.44899313,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999611,3.89E-07
7,Dorado,1.56055684,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999611,3.89E-07
8,Dorado,1.680710281,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999611,3.89E-07
9,Dorado,1.810114811,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999611,3.89E-07
10,Dorado,1.949482708,1,0.999999,1,0,3848,1,2568679,0,0,0,0,0.999999611,3.89E-07
11,Dorado,2.09958109,2,0.999999,1,0,3848,2,2568678,0,0,0,0,0.999999221,7.79E-07
12,Dorado,2.26123614,2,0.999999,1,0,3848,2,2568678,0,0,0,0,0.999999221,7.79E-07
13,Dorado,2.435337651,2,0.999999,1,0,3848,2,2568678,0,0,0,0,0.999999221,7.79E-07
14,Dorado,2.622843926,2,0.999999,1,0,3848,2,2568678,0,0,0,0,0.999999221,7.79E-07
15,Dorado,2.82478705,2,0.999999,1,0,3848,2,2568678,0,0,0,0,0.999999221,7.79E-07
16,Dorado,3.042278574,3,0.999999,1,0,3848,3,2568677,0,0,0,0,0.999998832,1.17E-06
17,Dorado,3.276515631,3,0.999999,1,0,3848,3,2568677,0,0,0,0,0.999998832,1.17E-06
18,Dorado,3.528787524,3,0.999999,1,0,3848,3,2568677,0,0,0,0,0.999998832,1.17E-06
19,Dorado,3.800482829,3,0.999999,1,0,3848,3,2568677,0,0,0,0,0.999998832,1.17E-06
20,Dorado,4.093097028,4,0.999999,1,0,3848,4,2568676,0,0,0,0,0.999998443,1.56E-06
21,Dorado,4.408240753,4,0.999999,1,0,3848,4,2568676,0,0,0,0,0.999998443,1.56E-06
22,Dorado,4.747648638,4,0.999999,1,0,3848,4,2568676,0,0,0,0,0.999998443,1.56E-06
23,Dorado,5.113188879,5,0.999999,1,0,3848,5,2568675,0,0,0,0,0.999998053,1.95E-06
24,Dorado,5.506873508,5,0.999999,1,0,3848,5,2568675,0,0,0,0,0.999998053,1.95E-06
25,Dorado,5.930869473,5,0.999999,1,0,3848,5,2568675,0,0,0,0,0.999998053,1.95E-06
26,Dorado,6.387510564,6,0.999999,1,0,3848,6,2568674,0,0,0,0,0.999997664,2.34E-06
27,Dorado,6.879310259,6,0.999999,1,0,3848,6,2568674,0,0,0,0,0.999997664,2.34E-06
28,Dorado,7.408975556,7,0.999999,1,0,3848,7,2568673,0,0,0,0,0.999997275,2.73E-06
29,Dorado,7.979421879,7,0.999999,1,0,3848,7,2568673,0,0,0,0,0.999997275,2.73E-06
30,Dorado,8.59378912,8,0.999999,1,0,3848,8,2568672,0,0,0,0,0.999996886,3.11E-06
31,Dorado,9.255458924,9,0.999999,1,0,3848,9,2568671,0,0,0,0,0.999996496,3.50E-06
32,Dorado,9.968073302,9,0.999999,1,0,3848,9,2568671,0,0,0,0,0.999996496,3.50E-06
33,Dorado,10.73555468,10,0.999999,1,0,3848,10,2568670,0,0,0,0,0.999996107,3.89E-06
34,Dorado,11.56212748,11,0.999999,1,0,3848,11,2568669,0,0,0,0,0.999995718,4.28E-06
35,Dorado,12.45234139,12,0.999999,1,0,3848,12,2568668,0,0,0,0,0.999995328,4.67E-06
36,Dorado,13.41109639,13,0.999999,1,1,3847,12,2568668,0.076923077,0.000259875,0.000518001,0.000259875,0.999995328,4.67E-06
37,Dorado,14.44366973,14,0.999999,1,1,3847,13,2568667,0.071428571,0.000259875,0.000517866,0.000259875,0.999994939,5.06E-06
38,Dorado,15.55574497,15,0.999999,1,1,3847,14,2568666,0.066666667,0.000259875,0.000517732,0.000259875,0.99999455,5.45E-06
39,Dorado,16.75344328,16,0.999999,1,1,3847,15,2568665,0.0625,0.000259875,0.000517598,0.000259875,0.99999416,5.84E-06
40,Dorado,18.04335713,18,0.999999,1,2,3846,16,2568664,0.111111111,0.000519751,0.001034661,0.000519751,0.999993771,6.23E-06
41,Dorado,19.43258653,19,0.999999,1,2,3846,17,2568663,0.105263158,0.000519751,0.001034394,0.000519751,0.999993382,6.62E-06
42,Dorado,20.92877821,20,0.999999,1,2,3846,18,2568662,0.1,0.000519751,0.001034126,0.000519751,0.999992993,7.01E-06
43,Dorado,22.54016759,22,0.999999,1,2,3846,20,2568660,0.090909091,0.000519751,0.001033592,0.000519751,0.999992214,7.79E-06
44,Dorado,24.27562422,24,0.999999,1,2,3846,22,2568658,0.083333333,0.000519751,0.001033058,0.000519751,0.999991435,8.56E-06
45,Dorado,26.14470051,26,0.999999,1,3,3845,23,2568657,0.115384615,0.000779626,0.001548787,0.000779626,0.999991046,8.95E-06
46,Dorado,28.15768438,28,0.999999,1,3,3845,25,2568655,0.107142857,0.000779626,0.001547988,0.000779626,0.999990267,9.73E-06
47,Dorado,30.32565583,30,0.999999,1,3,3845,27,2568653,0.1,0.000779626,0.001547189,0.000779626,0.999989489,1.05E-05
